vae,vas,pve,pvs,gee,ges,rqe,rqs,rle,rls,cce
0.6536776,0.11805354,-0.26767042,0.22715022,0.16254278,0.20109425,0.023029443,0.18998824,-0.12317217,0.15351403,0.020065013
1.1079105,0.14344938,0.7417393,0.24199788,0.92102873,0.21432865,0.6216305,0.23215929,0.9963939,0.14643833,1.0812516
-0.7114726,0.120300755,-0.8095934,0.23612024,-0.5875607,0.19453998,-0.46816885,0.16885518,-0.3363108,0.13945939,-1.032168
-1.1061765,0.13096534,-2.0065427,0.23433635,-1.778381,0.19066538,-1.481517,0.18211427,-1.7517636,0.16206853,-1.1762098
1.5249287,0.25814304,1.3853189,0.38143334,1.9634967,0.23420878,1.4911685,0.2952889,1.7637275,0.25032258,1.8868831
-0.38608098,0.89341265,1.144099,0.7234809,0.6018464,0.49119613,0.5894331,0.78429294,0.9422481,0.7741132,0.5966461
-0.7124671,0.11379896,-0.46134347,0.2528543,-0.25454304,0.19333825,-0.21271238,0.19715112,-0.3181834,0.16117266,-0.47610646
-0.9659094,0.118176535,-0.4934764,0.2435471,0.4516038,0.22696695,0.7120158,0.20470612,0.42974022,0.1597636,0.1793162
-0.53190166,0.25159094,1.0454392,0.34067583,1.1322142,0.36265606,1.7781378,0.37910423,0.81150365,0.20531301,0.8463628
1.2066593,0.1427277,0.10670637,0.19816442,1.4443619,0.21306385,1.1252615,0.21766974,1.393073,0.15806863,1.283082
0.83577293,0.113359384,0.9438875,0.22715022,0.9498785,0.20844239,1.2434927,0.19588219,1.0463098,0.14070374,0.5611928
-1.494866,0.19319989,-0.39314878,0.38434094,-0.95108074,0.29679266,-0.43434453,0.20475732,-0.8790128,0.25745276,-0.27553228
-0.41543084,0.13430905,-0.9983346,0.21161032,-1.0682614,0.22106002,-0.8100006,0.18477373,-0.68191713,0.15564679,-0.57667005
1.1929708,0.26259786,1.4539845,0.4849204,-0.85440767,0.6222493,-0.8733303,0.43601778,0.74797523,0.6024809,-0.5025261
0.96994627,0.14400166,1.0103745,0.2392498,1.4407022,0.21908851,1.1291772,0.22479999,1.3198309,0.15913752,1.2302278
0.32329398,0.17504402,0.65579003,0.30459777,0.4958014,0.26243216,-0.170286,0.2556839,0.5108145,0.21932088,0.5493168
-0.916404,0.124616966,-0.8633825,0.2392498,-0.40689963,0.20998885,-0.25560564,0.1852996,-1.007558,0.14237703,-1.0175809
1.0071454,0.17349009,0.85958046,0.2721848,1.0041797,0.27860495,0.8010634,0.26100567,0.7905696,0.18989529,1.3600196
1.0125967,0.16609375,0.57808506,0.28284657,0.5129181,0.18574029,0.69482136,0.17146616,0.5102912,0.16310096,0.4015458
-1.1063552,0.15874732,-0.19082752,0.32008725,-0.9155369,0.38139176,-0.564226,0.3052963,-0.74432474,0.24938457,-0.15989798
-0.019902654,0.112037525,-1.3921816,0.23852235,0.19817011,0.20561273,-0.1609696,0.17759877,-0.50638926,0.13676336,-0.6850348
-2.1568017,0.1355757,-0.41451287,0.24132012,-1.4670126,0.280948,-2.351887,0.23744051,-1.6004194,0.17797373,-1.6856028
-1.6103568,0.13551015,0.28038213,0.2493356,-0.3809145,0.23932886,-1.6269455,0.20776868,-0.69388163,0.15827502,0.26503998
1.2452905,0.29187784,1.5188533,0.57297325,1.0254997,0.4508037,1.3479704,0.48397914,1.7161143,0.27470073,1.1833445
1.1128007,0.29424587,0.8498075,0.6002404,-0.016081886,1.0458208,-0.059318524,1.072618,0.3012458,0.753088,-0.5583741
-0.44422486,0.14448643,0.1908144,0.28685582,-0.9377641,0.16587788,-0.6297033,0.17383102,-0.4795862,0.16690668,-0.60448813
-0.20358077,0.12769398,-0.61069435,0.21806972,-0.8943384,0.2150329,-0.722834,0.18952002,-0.6786395,0.16013594,-0.7462793
0.40488374,0.35760242,1.285614,0.44368258,1.2872018,0.3070519,1.1116174,0.21363607,0.72019845,0.35741633,0.5087831
1.3607711,0.15987015,0.75732505,0.2564487,1.6017329,0.22385348,1.4205441,0.232354,1.3153872,0.17337562,1.3474153
0.5752363,0.42988524,0.5815817,0.301696,0.7414722,0.39894333,0.8399192,0.5026605,0.8347943,0.39829195,0.779971
1.366367,0.14219958,0.70126945,0.1922474,1.5181732,0.21110147,1.1528852,0.22809975,1.54863,0.16193755,1.5129503
-0.4767388,0.8374029,1.239063285,0.6430732674999999,-0.9991317,0.6196901,-0.90703225,0.5617317,-0.78781587,0.7531846,-0.44212884
0.5621245,0.4573736,0.98304904,0.274313,0.7445626,0.4471436,1.2786483,0.4601504,-0.041641667,0.49949622,1.2154403
-1.2400684,0.123408414,-2.519349,0.24574125,-1.4007454,0.22302572,-1.1930902,0.17622124,-1.6091115,0.16189574,-1.4459084
0.60306185,0.22669019,0.7902956,0.26734936,-0.1941464,0.31811088,-0.3959,0.27163205,0.33375457,0.3117182,-0.13321127
-0.43814096,0.19272086,-1.6089607,0.31338027,-0.4030758,0.2030091,0.091514856,0.23431627,-0.9250379,0.16043569,-0.40626252
-0.7776223,0.2144461,-1.1928475,0.3456684,-0.79798585,0.22248708,-0.6009936,0.3327563,-1.3922702,0.2214034,-0.9981746
0.45767897,0.1293286,0.6915024,0.22028312,0.15051809,0.2065983,0.011069839,0.21391529,0.35187244,0.16473342,0.33422056
-1.3110592,0.1455297,-0.9074749,0.20011306,0.56192875,0.23423122,0.7045188,0.23122269,0.41340113,0.17963593,0.27352184
-0.49354613,0.10773607,-0.8689665,0.22198433,-0.60115486,0.18111835,-0.26237375,0.17118365,-0.35627982,0.12953544,-1.0015751
